product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason
Fb000066,Bottoms,Mango,Spring,Xs,White,86.54,21.7,67.76,01-06-2025,21,3.6,TRUE,Changed Mind
Fb000067,Accessories,Ann Taylor,Summer,unknown size,Green,55.57,12.1,55.57,06-08-2025,44,3.8,FALSE,
Fb000068,Tops,Forever21,Spring,Xl,Black,76.5,12.1,76.5,26-01-2025,17,4.6,FALSE,
Fb000069,Dresses,Forever21,Spring,Xs,Green,137.19,9.5,124.16,01-04-2025,17,2.9,FALSE,
Fb000070,Tops,Zara,Summer,Xl,Purple,48.92,19.8,39.23,06-08-2025,17,2.6,FALSE,
Fb000071,Shoes,Ann Taylor,Winter,Xl,White,69.82,12.1,69.82,06-08-2025,46,2.9,TRUE,Wrong Item
Fb000072,Outerwear,Mango,Summer,Xxl,Red,199.39,7.4,184.64,06-08-2025,49,2.9,FALSE,
Fb000073,Outerwear,Banana Republic,Summer,M,White,222.09,55.2,99.5,06-08-2025,21,4.5,FALSE,
Fb000074,Tops,Mango,Fall,Xs,Red,112.86,12.1,112.86,06-08-2025,8,2.9,FALSE,
Fb000075,Dresses,Mango,Spring,Xs,Green,100.96,12.1,100.96,10-05-2025,32,3.3,FALSE,
Fb000076,Outerwear,Gap,Spring,Xl,Green,243.56,48,126.65,14-10-2024,22,4.4,TRUE,Changed Mind
Fb000077,Dresses,Mango,Spring,Xxl,Red,153.32,12.1,153.32,13-09-2024,43,2.9,FALSE,
Fb000078,Accessories,Uniqlo,Fall,unknown size,Purple,42.95,22.5,33.29,06-08-2025,7,1.9,TRUE,Size Issue
Fb000079,Tops,H&M,Summer,S,Green,30.79,12.1,30.79,06-08-2025,36,3.4,FALSE,
Fb000080,Accessories,Uniqlo,Fall,unknown size,Brown,59.85,12.1,59.85,06-08-2025,38,4,FALSE,
Fb000081,Tops,Banana Republic,Spring,S,Navy,78.16,19.1,63.23,25-07-2025,23,2.9,FALSE,
Fb000082,Tops,Ann Taylor,Fall,M,White,113.17,19.1,91.55,06-08-2025,15,4.9,FALSE,
Fb000083,Dresses,Ann Taylor,Winter,S,Blue,174.13,12.1,174.13,06-08-2025,34,3.7,FALSE,
Fb000084,Shoes,Zara,Summer,Xs,Purple,191.96,12.1,191.96,06-08-2025,50,2.9,FALSE,
Fb000085,Outerwear,Ann Taylor,Spring,Xl,Beige,222.55,22.6,172.25,10-02-2025,50,2.9,FALSE,
Fb000086,Bottoms,Forever21,Winter,Xs,Black,37.85,11.9,33.35,06-08-2025,45,3.4,TRUE,Changed Mind
Fb000087,Outerwear,Uniqlo,Summer,M,Gray,241.09,12.1,241.09,06-08-2025,26,2.9,FALSE,
Fb000088,Dresses,Banana Republic,Spring,S,Navy,136.97,12.1,136.97,25-10-2024,17,4.4,TRUE,Quality Issue
Fb000089,Shoes,H&M,Spring,M,Blue,113.79,55.3,50.86,29-12-2024,47,4.1,FALSE,
Fb000090,Bottoms,H&M,Summer,Xxl,White,93.23,412.1,55.94,06-08-2025,46,1.9,FALSE,
Fb000091,Shoes,Uniqlo,Spring,S,Navy,106.24,6.4,99.44,09-09-2024,50,1.5,FALSE,
Fb000092,Accessories,Zara,Winter,unknown size,Brown,30.95,12.1,30.95,06-08-2025,27,3.1,TRUE,Changed Mind
Fb000093,Shoes,Zara,Summer,S,Black,76.92,49.5,38.84,06-08-2025,7,1.1,FALSE,
Fb000094,Bottoms,H&M,Fall,Xs,Beige,80.64,12.1,80.64,06-08-2025,26,2.9,FALSE,
Fb000095,Bottoms,Zara,Fall,Xs,Beige,32.46,52.4,15.45,06-08-2025,14,3.9,FALSE,
Fb000096,Accessories,Gap,Summer,unknown size,Black,54.79,12.1,54.79,06-08-2025,12,4.5,FALSE,
Fb000097,Bottoms,H&M,Winter,M,Pink,71.14,56.4,31.02,06-08-2025,12,3.4,FALSE,
Fb000098,Bottoms,Ann Taylor,Summer,Xxl,Navy,57.85,12.1,57.85,06-08-2025,36,3.5,FALSE,
Fb000099,Bottoms,Zara,Summer,Xs,Green,33.37,3,32.37,06-08-2025,40,1.3,FALSE,
Fb000100,Tops,Gap,Summer,L,Black,91.83,12.1,91.83,06-08-2025,39,4.9,FALSE,
Fb000101,Bottoms,Zara,Fall,L,White,60.12,19.5,48.4,06-08-2025,42,1,FALSE,
Fb000102,Dresses,Banana Republic,Winter,S,White,163.5,12.1,163.5,06-08-2025,34,4.9,FALSE,
Fb000103,Dresses,Uniqlo,Spring,S,Beige,126.37,12.1,126.37,08-11-2024,25,1.8,FALSE,
Fb000104,Bottoms,Uniqlo,Winter,L,Navy,50.01,58.2,20.9,06-08-2025,32,4.8,FALSE,
Fb000105,Shoes,H&M,Winter,S,Red,84.31,12.1,84.31,06-08-2025,10,3.9,FALSE,
Fb000106,Bottoms,Banana Republic,Spring,Xl,Beige,100.98,12.1,100.98,17-06-2025,21,2.8,FALSE,
Fb000107,Bottoms,Banana Republic,Summer,M,Beige,38.02,12.1,38.02,06-08-2025,44,4.7,FALSE,
Fb000108,Bottoms,H&M,Fall,Xl,Blue,63.85,12.1,63.85,06-08-2025,41,2.9,FALSE,
Fb000109,Shoes,H&M,Fall,Xs,Navy,183.15,12.1,183.15,06-08-2025,23,4.1,FALSE,
Fb000110,Dresses,Zara,Winter,S,Gray,91,59.5,36.86,06-08-2025,5,3.9,FALSE,
Fb000111,Outerwear,Uniqlo,Spring,L,Black,92.83,12.1,92.83,20-07-2025,9,1.2,FALSE,
Fb000112,Accessories,Banana Republic,Winter,unknown size,Brown,34.45,12.1,34.45,06-08-2025,4,4.5,FALSE,
Fb000113,Dresses,H&M,Fall,S,Purple,128.15,512.1,64.08,06-08-2025,28,3.2,FALSE,
Fb000114,Tops,Mango,Summer,Xxl,Red,99.62,33.8,65.95,06-08-2025,27,2.1,FALSE,
Fb000115,Bottoms,Forever21,Winter,S,Pink,87.39,25.5,65.11,06-08-2025,8,2.3,FALSE,
Fb000116,Tops,Zara,Spring,Xxl,Brown,49.67,12.1,49.67,06-09-2024,37,2.3,FALSE,
Fb000117,Accessories,Uniqlo,Fall,unknown size,Brown,72.04,12.1,72.04,06-08-2025,48,2.9,TRUE,Wrong Item
Fb000118,Dresses,Zara,Spring,M,Navy,133.82,12.1,133.82,25-11-2024,12,1.7,FALSE,
Fb000119,Bottoms,Uniqlo,Winter,S,Black,62.93,12.1,62.93,06-08-2025,49,2.9,FALSE,
Fb000120,Outerwear,Zara,Spring,L,Red,248.58,12.1,248.58,04-07-2025,27,1.5,FALSE,
Fb000121,Shoes,Uniqlo,Fall,Xxl,Navy,61.08,12.1,61.08,06-08-2025,27,2.9,TRUE,Changed Mind
Fb000122,Bottoms,Gap,Winter,S,Red,109.12,12.1,109.12,06-08-2025,34,2.9,FALSE,
Fb000123,Outerwear,Zara,Winter,Xxl,Purple,82.91,45.9,44.85,06-08-2025,24,2.9,TRUE,Quality Issue
Fb000124,Shoes,H&M,Summer,Xs,Purple,113.53,112.1.9,101.16,06-08-2025,40,2.8,FALSE,
Fb000125,Accessories,Uniqlo,Winter,unknown size,Brown,38.89,51.5,18.86,06-08-2025,28,4.3,FALSE,
Fb000126,Dresses,Gap,Spring,Xxl,Black,53.01,45.9,28.68,14-01-2025,37,3.7,FALSE,
Fb000127,Shoes,Ann Taylor,Spring,Xxl,Blue,81.64,12.1,81.64,06-12-2024,50,1.1,FALSE,
Fb000128,Shoes,Ann Taylor,Spring,Xxl,White,125.24,21.5,98.31,06-09-2024,7,2.9,FALSE,
Fb000129,Outerwear,Ann Taylor,Spring,Xs,Pink,98.61,12.1,98.61,05-03-2025,1,2.6,FALSE,
Fb000130,Shoes,Gap,Fall,Xs,Blue,77.54,12.1,77.54,06-08-2025,36,3.4,FALSE,
Fb000131,Dresses,Banana Republic,Spring,Xl,Purple,79.13,12.1,79.13,16-11-2024,11,3.6,FALSE,
Fb000132,Bottoms,Mango,Spring,S,Green,96.11,12.1,96.11,12-04-2025,13,4.2,FALSE,
Fb000133,Tops,Mango,Spring,Xl,White,116.61,12.1,116.61,04-11-2024,31,2.9,FALSE,
Fb000134,Accessories,Ann Taylor,Winter,unknown size,Blue,57.8,27,42.19,06-08-2025,9,1.8,FALSE,
Fb000135,Tops,H&M,Spring,S,White,110.78,12.1,110.78,13-01-2025,9,1.4,FALSE,
Fb000136,Tops,Gap,Spring,L,Black,112.63,12.1,112.63,14-10-2024,50,3.6,TRUE,Quality Issue
Fb000137,Tops,H&M,Summer,Xs,Purple,89.36,12.1,89.36,06-08-2025,24,4.3,TRUE,Damaged
Fb000138,Outerwear,Forever21,Fall,M,Pink,127.99,12.1,127.99,06-08-2025,16,2.9,FALSE,
Fb000139,Bottoms,Zara,Winter,Xxl,Beige,54.88,58.8,22.61,06-08-2025,50,3.5,FALSE,
Fb000140,Shoes,Uniqlo,Spring,L,White,154.13,12.1,154.13,01-10-2024,31,4.1,TRUE,Size Issue
Fb000141,Dresses,Ann Taylor,Spring,Xs,Gray,131.5,12.1,131.5,03-11-2024,5,2.9,FALSE,
Fb000142,Outerwear,Gap,Summer,M,Blue,133.26,12.1,133.26,06-08-2025,29,1.3,FALSE,
Fb000143,Shoes,Forever21,Winter,Xl,Red,173.91,12.1,173.91,06-08-2025,21,2.9,FALSE,
Fb000144,Tops,H&M,Spring,L,Beige,102.99,12.1,102.99,16-07-2025,41,3.9,FALSE,
Fb000145,Outerwear,Zara,Spring,L,Beige,87.78,45.3,48.02,17-02-2025,34,1.8,FALSE,
Fb000146,Tops,Uniqlo,Winter,unknown size,Beige,91.8,15.8,77.3,06-08-2025,30,4.2,FALSE,
Fb000147,Tops,Zara,Winter,L,White,107.32,25.4,80.06,06-08-2025,50,4.4,FALSE,
Fb000148,Bottoms,Banana Republic,Spring,Xxl,Brown,67.69,57.3,28.9,24-07-2025,50,4.6,FALSE,
Fb000149,Tops,Ann Taylor,Summer,M,Beige,68.11,46,36.78,06-08-2025,3,2.5,FALSE,
Fb000150,Shoes,Banana Republic,Spring,L,Blue,94.29,12.1,94.29,15-09-2024,18,1.7,FALSE,
Fb000151,Tops,Ann Taylor,Winter,Xl,Gray,94.97,12.1,94.97,06-08-2025,46,4.3,FALSE,
Fb000152,Shoes,Banana Republic,Winter,M,Navy,65.87,11.4,58.36,06-08-2025,15,3.9,FALSE,
Fb000153,Dresses,Zara,Winter,Xxl,Blue,155.06,29.4,109.47,06-08-2025,5,3.6,FALSE,
Fb000154,Outerwear,Zara,Winter,L,Brown,172.59,12.1,172.59,06-08-2025,1,2.1,FALSE,
Fb000155,Dresses,H&M,Summer,M,Blue,68.72,12.1,68.72,06-08-2025,28,1.7,TRUE,Quality Issue
Fb000156,Tops,Banana Republic,Spring,Xl,Blue,28.78,12.1,28.78,03-10-2024,21,2.9,FALSE,
Fb000157,Outerwear,H&M,Winter,Xxl,Black,110.32,28.3,79.1,06-08-2025,49,3.3,FALSE,
Fb000158,Shoes,Mango,Summer,Xxl,Black,194.24,12.1,194.24,06-08-2025,17,1.2,TRUE,Changed Mind
Fb000159,Shoes,Gap,Fall,Xs,Beige,175.91,12.1,175.91,06-08-2025,4,2.8,FALSE,
Fb000160,Bottoms,Mango,Winter,Xxl,Gray,79.34,12.1,79.34,06-08-2025,30,4.4,FALSE,
Fb000161,Bottoms,H&M,Summer,M,Green,111.88,12.1,111.88,06-08-2025,41,4.5,FALSE,
Fb000162,Accessories,Gap,Spring,unknown size,Navy,42.84,412.1.6,25.45,12-09-2024,18,2.6,FALSE,
Fb000163,Bottoms,Gap,Spring,Xxl,Navy,26.28,1.1,25.99,20-06-2025,35,5,FALSE,
Fb000164,Accessories,H&M,Spring,unknown size,Green,23.11,12.1,23.11,17-09-2024,2,1.4,FALSE,
Fb000165,Shoes,Zara,Winter,M,White,168.36,12.1,168.36,06-08-2025,47,2.9,TRUE,Damaged
Fb000166,Shoes,Gap,Fall,Xl,Green,99.26,12.1,99.26,06-08-2025,33,2.9,TRUE,Quality Issue
Fb000167,Accessories,Mango,Spring,unknown size,Black,53.66,12.1,53.66,19-12-2024,40,2.8,FALSE,
Fb000168,Accessories,Ann Taylor,Summer,unknown size,Gray,69.71,18,57.16,06-08-2025,34,4.2,TRUE,Color Mismatch
Fb000169,Dresses,Forever21,Fall,Xxl,Gray,60.3,21.4,47.4,06-08-2025,4,3.6,FALSE,
Fb000170,Shoes,Banana Republic,Winter,Xxl,Red,113.58,12.1,113.58,06-08-2025,33,4.9,TRUE,Wrong Item
Fb000171,Bottoms,Ann Taylor,Fall,Xs,Brown,54.86,1.7,53.93,06-08-2025,40,2.5,FALSE,
Fb000172,Tops,Zara,Winter,Xs,Red,92.25,12.1,92.25,06-08-2025,13,2.8,TRUE,Damaged
Fb000173,Accessories,Ann Taylor,Winter,unknown size,White,54.07,12.1,54.07,06-08-2025,47,4.6,FALSE,
Fb000174,Shoes,Banana Republic,Winter,Xl,Red,104.4,12.1,104.4,06-08-2025,41,3.4,FALSE,
Fb000175,Dresses,Ann Taylor,Spring,M,Gray,45.97,12.1,45.97,28-08-2024,37,3.2,TRUE,Quality Issue
Fb000176,Tops,Ann Taylor,Summer,Xxl,Black,28.79,12.1,28.79,06-08-2025,4,4.4,FALSE,
Fb000177,Outerwear,Uniqlo,Winter,M,Gray,204.21,12.1,204.21,06-08-2025,5,3.3,FALSE,
Fb000178,Shoes,Mango,Fall,Xxl,Pink,190.75,212.1,152.6,06-08-2025,47,2.9,FALSE,
Fb000179,Tops,Forever21,Winter,Xs,Brown,33.01,39.2,20.07,06-08-2025,16,3.7,FALSE,
Fb000180,Accessories,Banana Republic,Spring,unknown size,Blue,47.61,39.8,28.66,03-12-2024,18,1.3,FALSE,
Fb000181,Outerwear,H&M,Spring,Xs,Red,137.16,12.1,137.16,26-09-2024,34,3.2,FALSE,
Fb000182,Tops,Gap,Fall,M,Navy,108.49,12.1,108.49,06-08-2025,7,3.3,FALSE,
Fb000183,Tops,Banana Republic,Winter,Xl,Green,106.49,12.1,106.49,06-08-2025,23,4,FALSE,
Fb000184,Tops,Mango,Winter,Xxl,Pink,114.86,12.1,114.86,06-08-2025,48,1.1,FALSE,
Fb000185,Dresses,Zara,Fall,L,Blue,121.68,12.1,121.68,06-08-2025,9,1.5,FALSE,
Fb000186,Bottoms,Zara,Summer,Xxl,Black,74.08,3.9,71.19,06-08-2025,37,1.7,FALSE,
Fb000187,Tops,Gap,Fall,M,Blue,92.37,35.9,59.21,06-08-2025,20,2.9,FALSE,
Fb000188,Tops,Uniqlo,Summer,Xxl,Beige,34.06,12.1,34.06,06-08-2025,39,4.5,FALSE,
Fb000189,Dresses,Zara,Summer,L,Pink,173.42,12.1,173.42,06-08-2025,47,4.2,FALSE,
Fb000190,Bottoms,Uniqlo,Spring,Xxl,Brown,66.51,12.1,66.51,04-10-2024,32,2.1,FALSE,
Fb000191,Bottoms,Uniqlo,Fall,Xxl,Blue,72.44,7.1,67.3,06-08-2025,10,1.8,FALSE,
Fb000192,Tops,Ann Taylor,Fall,S,Black,81.2,12.1,81.2,06-08-2025,3,1.5,FALSE,
Fb000193,Outerwear,Gap,Summer,Xxl,Red,104.5,12.3,91.65,06-08-2025,42,2.9,FALSE,
Fb000194,Dresses,Gap,Winter,Xl,Pink,57.53,13,50.05,06-08-2025,12,4.1,FALSE,
Fb000195,Shoes,Banana Republic,Summer,Xxl,Gray,142.58,12.1,142.58,06-08-2025,25,4.8,TRUE,Quality Issue
Fb000196,Dresses,Zara,Fall,Xxl,Green,162.23,29.4,114.53,06-08-2025,41,4,TRUE,Quality Issue
Fb000197,Bottoms,Ann Taylor,Spring,Xxl,Red,32.1,51.7,15.5,23-11-2024,27,2.9,FALSE,
Fb000198,Shoes,Uniqlo,Fall,L,Black,162.41,42.7,93.06,06-08-2025,22,4.8,FALSE,
Fb000199,Tops,Banana Republic,Fall,M,Gray,77.46,57.5,32.92,06-08-2025,23,4,FALSE,
Fb000200,Tops,H&M,Fall,Xxl,Blue,103.42,56.1,45.4,06-08-2025,4,4.7,FALSE,
Fb000201,Bottoms,Zara,Spring,Xs,Green,42.91,33.3,28.62,23-11-2024,18,2.9,FALSE,
Fb000202,Shoes,Zara,Summer,Xl,Green,144.92,17,120.28,06-08-2025,32,2,FALSE,
Fb000203,Shoes,Banana Republic,Summer,Xs,Black,93.07,23.9,70.83,06-08-2025,10,3.5,TRUE,Changed Mind
Fb000204,Outerwear,H&M,Summer,S,Red,119.96,12.1,119.96,06-08-2025,20,1.1,FALSE,
Fb000205,Accessories,Forever21,Summer,unknown size,Gray,42.04,512.1.9,20.64,06-08-2025,43,2.3,TRUE,Wrong Item
Fb000206,Accessories,Banana Republic,Winter,unknown size,Red,54.45,12.1,54.45,06-08-2025,12,2.7,FALSE,
Fb000207,Tops,Mango,Spring,M,Green,66.95,36.4,42.58,28-09-2024,44,1.9,TRUE,Quality Issue
Fb000208,Tops,Ann Taylor,Spring,Xl,Beige,116.96,8.8,106.67,29-04-2025,33,1.6,FALSE,
Fb000209,Tops,Forever21,Fall,Xxl,Pink,111.14,12.1,111.14,06-08-2025,49,1.6,FALSE,
Fb000210,Tops,Banana Republic,Fall,Xs,Blue,59.6,12.1,59.6,06-08-2025,40,2.1,FALSE,
Fb000211,Tops,Ann Taylor,Spring,S,Gray,25.49,16.7,21.23,23-05-2025,32,2.9,FALSE,
Fb000212,Tops,Zara,Spring,M,Black,82.94,12.1,82.94,17-07-2025,46,1.5,FALSE,
Fb000213,Tops,Uniqlo,Spring,L,Blue,99.71,12.1,99.71,21-08-2024,23,1.4,FALSE,
Fb000214,Accessories,Banana Republic,Fall,unknown size,Black,69.74,12.1,69.74,06-08-2025,11,3.3,TRUE,Changed Mind
Fb000215,Bottoms,H&M,Summer,Xxl,Green,57.19,12.1,57.19,06-08-2025,12,2.5,FALSE,
Fb000216,Tops,H&M,Summer,Xxl,Red,58.65,12.1,58.65,06-08-2025,4,1.1,FALSE,
Fb000217,Outerwear,Uniqlo,Fall,Xl,Pink,110.22,12.1,110.22,06-08-2025,4,1.6,FALSE,
Fb000218,Tops,Zara,Summer,Xxl,Pink,69.36,12.1,69.36,06-08-2025,25,2.9,FALSE,
Fb000219,Bottoms,Zara,Winter,S,Black,87.03,12.1,87.03,06-08-2025,39,4.3,FALSE,
Fb000220,Dresses,Zara,Winter,Xxl,Brown,160.6,18.4,131.05,06-08-2025,41,3,FALSE,
Fb000221,Outerwear,H&M,Spring,Xs,Purple,167.02,12.1,167.02,30-01-2025,26,2.6,TRUE,Size Issue
Fb000222,Tops,Zara,Summer,Xxl,Gray,26.09,12.1,26.09,06-08-2025,32,4.6,TRUE,Damaged
Fb000223,Outerwear,H&M,Summer,Xl,Brown,246.65,12.1,246.65,06-08-2025,17,2.9,TRUE,Damaged
Fb000224,Outerwear,Forever21,Summer,S,Red,206.91,12.1,206.91,06-08-2025,34,2.3,FALSE,
Fb000225,Dresses,Gap,Winter,Xl,Black,85.08,12.1,85.08,06-08-2025,29,2.9,FALSE,
Fb000226,Outerwear,Forever21,Spring,Xxl,White,240.32,54.8,108.62,27-12-2024,3,4.5,FALSE,
Fb000227,Dresses,Uniqlo,Fall,Xxl,Red,130.12,1.4,128.3,06-08-2025,0,5,FALSE,
Fb000228,Bottoms,H&M,Spring,Xs,Black,42.29,15.8,35.61,02-11-2024,11,1.6,FALSE,
Fb000229,Outerwear,H&M,Spring,S,Beige,191.54,12.1,191.54,10-10-2024,18,1.2,FALSE,
Fb000230,Accessories,Ann Taylor,Spring,unknown size,Beige,42.23,12.1,42.23,14-07-2025,15,2.9,FALSE,
Fb000231,Shoes,H&M,Summer,S,Gray,109.76,12.1,109.76,06-08-2025,16,4.3,FALSE,
Fb000232,Accessories,Mango,Summer,unknown size,Red,76.8,43.3,43.55,06-08-2025,24,2.9,FALSE,
Fb000233,Dresses,Forever21,Winter,unknown size,Black,56.34,22.4,43.72,06-08-2025,37,2.5,TRUE,Wrong Item
Fb000234,Tops,Gap,Fall,unknown size,Beige,88.41,12.1,88.41,06-08-2025,24,4.4,FALSE,
